[REGISTRO]
Asiento
14/12/2023|0||||
ASIENTO||8003|7018164,13390|||||||||N||
ASIENTO||0521||101480716,42500||||||||N||
ASIENTO||0522||22942576,16160||||||||N||
ASIENTO||8004|1072515,82960|||||||||N||
ASIENTO||0530||66046,18430||||||||N||
ASIENTO||0525||9938048,03610||||||||N||
ASIENTO||0528||1495890,26370||||||||N||
ASIENTO||3601|8372,25000|||||||||N||
ASIENTO||0523||8372,25000||||||||N||
ASIENTO||5102|5109695,85320|||||||||N||
ASIENTO||2103|13435624,53940|||||||||N||
ASIENTO||5103|6736718,17540|||||||||N||
ASIENTO||2101|24760690,23690|||||||||N||
ASIENTO||0901|82852,39890|||||||||N||
ASIENTO||2102|4501854,86070|||||||||N||
ASIENTO||2104|2455766,70880|||||||||N||
ASIENTO||5104|1242397,06350|||||||||N||
ASIENTO||0524||7370200,17440||||||||N||
ASIENTO||5106||17145,06000||||||||N||
ASIENTO||0602||39793123,57000||||||||N||
ASIENTO||17003|2317158,60000|||||||||N||
ASIENTO||6103|12466773,78320|||||||||N||
ASIENTO||17004|354108,17620|||||||||N||
ASIENTO||17006||4960,00000||||||||N||
ASIENTO||6104|2210554,06030|||||||||N||
ASIENTO||2003|887460,58690|||||||||N||
ASIENTO||2004|140075,64650|||||||||N||
ASIENTO||7003|1504728,24000|||||||||N||
ASIENTO||7004|229952,56900|||||||||N||
ASIENTO||7006||3050,94000||||||||N||
ASIENTO||4003|1178898,62600|||||||||N||
ASIENTO||0220||130000,00000||||||C1900||N||
ASIENTO||4103|5129998,20860|||||||||N||
ASIENTO||4104|1011031,11220|||||||||N||
ASIENTO||4106||12118,39000||||||||N||
ASIENTO||14003|2137520,71670|||||||||N||
ASIENTO||14004|326655,91210|||||||||N||
ASIENTO||2106||49353,89000||||||||N||
ASIENTO||0220||90000,00000||||||C7164||N||
ASIENTO||14006||10161,14000||||||||N||
ASIENTO||0220||90000,00000||||||C7186||N||
ASIENTO||5112|1182804,04000|||||||||N||
ASIENTO||6112|968296,89000|||||||||N||
ASIENTO||6106||7527,51000||||||||N||
ASIENTO||15003|1649107,56780|||||||||N||
ASIENTO||15004|252016,61480|||||||||N||
ASIENTO||0220||90000,00000||||||C7388||N||
ASIENTO||0220||35000,00000||||||C7305||N||
ASIENTO||5003|1205836,22500|||||||||N||
ASIENTO||5004|184275,89020|||||||||N||
ASIENTO||4112|1213031,28000|||||||||N||
ASIENTO||0220||60000,00000||||||C7358||N||
ASIENTO||1003|1119881,22210|||||||||N||
ASIENTO||1012|138328,13000|||||||||N||
ASIENTO||0220||60000,00000||||||C7359||N||
ASIENTO||1004|206749,03670|||||||||N||
ASIENTO||0221||11047,92000||||||C7444||N||
ASIENTO||0220||60000,00000||||||C7444||N||
ASIENTO||6003|1404925,13410|||||||||N||
ASIENTO||6004|228793,52620|||||||||N||
ASIENTO||4004|197493,98770|||||||||N||
ASIENTO||5006||3879,13000||||||||N||
ASIENTO||3003|2848439,99460|||||||||N||
ASIENTO||3004|463072,96270|||||||||N||
ASIENTO||3006||9759,95000||||||||N||
ASIENTO||2112|1858562,50000|||||||||N||
ASIENTO||16003|1343727,10510|||||||||N||
ASIENTO||16004|205348,37320|||||||||N||
ASIENTO||16006||5712,47000||||||||N||
ASIENTO||25003|1302071,93000|||||||||N||
ASIENTO||25004|198982,63160|||||||||N||
ASIENTO||0221||17859,00000||||||C7521||N||
ASIENTO||8006||14487,45000||||||||N||
ASIENTO||4006||2442,12000||||||||N||
ASIENTO||6101|2201980,12630|||||||||N||
ASIENTO||6102|410061,16000|||||||||N||
ASIENTO||0220||20000,00000||||||C7577||N||
ASIENTO||0220||70000,00000||||||C7584||N||
ASIENTO||6012|92218,75000|||||||||N||
ASIENTO||0220||70000,00000||||||C7585||N||
ASIENTO||1006||3016,54000||||||||N||
ASIENTO||25006||2442,12000||||||||N||
ASIENTO||0225||10953,53000||||||C6290||N||
ASIENTO||0221||20666,66000||||||C9640||N||
ASIENTO||0220||30000,00000||||||C9640||N||
ASIENTO||0220||30000,00000||||||C7341||N||
ASIENTO||0220||90000,00000||||||C7268||N||
ASIENTO||18003|748546,88200|||||||||N||
ASIENTO||18004|114392,93390|||||||||N||
ASIENTO||3204|12013547,57000|||||||||N||
ASIENTO||910||12013547,57000||||||||N||
ASIENTO||3201|10538466,00000|||||||||N||
ASIENTO||4101|16675230,98000|||||||||N||
ASIENTO||4102|3178062,23000|||||||||N||
ASIENTO||5101|27699879,04670|||||||||N||
ASIENTO||7001|8316496,74000|||||||||N||
ASIENTO||0225||20128,66000||||||C7633||N||
ASIENTO||7002|1537380,92640|||||||||N||
ASIENTO||0225||21250,61000||||||C7506||N||
ASIENTO||0220||120000,00000||||||C7682||N||
ASIENTO||0225||1756,98000||||||C7603||N||
ASIENTO||0220||140000,00000||||||C7685||N||
ASIENTO||0220||400000,00000||||||C7687||N||
ASIENTO||0225||1974,90000||||||C7687||N||
ASIENTO||0225||11810,24000||||||C7689||N||
ASIENTO||0220||200000,00000||||||C7689||N||
ASIENTO||0225||3890,21000||||||C7688||N||
ASIENTO||0220||300000,00000||||||C7688||N||
ASIENTO||19101|1485014,49000|||||||||N||
ASIENTO||19102|259241,81000|||||||||N||
ASIENTO||0220||300000,00000||||||C7697||N||
ASIENTO||0225||5497,37000||||||C7697||N||
ASIENTO||0220||280000,00000||||||C7698||N||
ASIENTO||0220||300000,00000||||||C7700||N||
ASIENTO||0225||16161,83000||||||C7700||N||
ASIENTO||0220||525346,00000||||||C7671||N||
ASIENTO||0220||727500,00000||||||C7683||N||
ASIENTO||0225||8500,58000||||||C7509||N||
ASIENTO||0220||30520,00000||||||C7696||N||
ASIENTO||0225||99142,53000||||||C7696||N||
